NAME;DESCRIPTION;DISK_SIZE_GB;PROJECT;FAMILY;ARCHITECTURE;CREATION;DEPRECATED;STATUS
c0-deeplearning-common-cpu-v20221107-debian-10;Google, Debian 10 based Deep Learning VM (with Intel MKL), M100, Base For CPU (with Intel MKL), Deep Learning VM Image with Intel optimized NumPy, SciPy, and scikit-learn preinstalled.;50;ml-images;common-cpu-debian-10;;2022-11-07T14:22:56.037-08:00;;READY
c0-deeplearning-common-cu110-v20221107-debian-10;Google, Debian 10 based Deep Learning VM with , M100, Base CUDA 11.0, Deep Learning VM Image with CUDA 11.0 preinstalled.;50;ml-images;common-dl-gpu-debian-10;;2022-11-07T15:47:54.516-08:00;;READY
c1-deeplearning-tf-1-15-cu110-v20221026-debian-10;Google, Debian 10 based Deep Learning VM for TensorFlow Enterprise 1.15 with CUDA 11.0, M99, TensorFlow Enterprise 1.15 with CUDA 11.0, Deep Learning VM Image with TensorFlow Enterprise 1.15 for CUDA 11.0 with Intel MKL-DNN preinstalled.;50;ml-images;tf-1-15-gpu-debian-10;;2022-10-26T21:15:19.796-07:00;;READY
c1-deeplearning-tf-1-15-tpu-v20221026-debian-10;Google, Debian 10 based Deep Learning VM for TensorFlow Enterprise 1.15, M99, TensorFlow Enterprise 1.15 TPU/CPU, Deep Learning VM Image with TensorFlow Enterprise 1.15 preinstalled.;50;ml-images;tf-1-15-tpu-debian-10;;2022-10-26T20:32:31.210-07:00;;READY
c1-deeplearning-tf-2-1-cu110-v20221107-debian-10;Google, Debian 10 based Deep Learning VM for TensorFlow Enterprise 2.1 with CUDA 11.0, M100, TensorFlow Enterprise 2.1 with CUDA 11.0, Deep Learning VM Image with TensorFlow 2.1 for CUDA 11.0 with Intel MKL-DNN preinstalled.;50;ml-images;tf-2-1-gpu-debian-10;;2022-11-07T16:53:21.429-08:00;;READY
c1-deeplearning-tf-2-1-tpu-v20221107-debian-10;Google, Debian 10 based Deep Learning VM for TensorFlow Enterprise 2.1, M100, TensorFlow Enterprise 2.1 TPU/CPU, Deep Learning VM Image with TensorFlow Enterprise 2.1 preinstalled.;50;ml-images;tf-2-1-tpu-debian-10;;2022-11-07T16:49:02.840-08:00;;READY
c1-deeplearning-tf-2-10-cu113-v20221107-debian-10;Google, Debian 10 based Deep Learning VM for TensorFlow Enterprise 2.10 with CUDA 11.3, M100, TensorFlow Enterprise 2.10 with CUDA 11.3, Deep Learning VM Image with TensorFlow Enterprise 2.10 for CUDA 11.3 with Intel MKL-DNN preinstalled.;50;ml-images;tf-2-10-gpu-debian-10;;2022-11-07T18:13:23.225-08:00;;READY
c1-deeplearning-tf-2-10-tpu-v20221107-debian-10;Google, Debian 10 based Deep Learning VM for TensorFlow Enterprise 2.10, M100, TensorFlow Enterprise 2.10 TPU/CPU, Deep Learning VM Image with TensorFlow Enterprise 2.10 preinstalled.;50;ml-images;tf-2-10-tpu-debian-10;;2022-11-07T17:58:23.922-08:00;;READY
c1-deeplearning-tf-2-3-cu110-v20221107-debian-10;Google, Debian 10 based Deep Learning VM for TensorFlow Enterprise 2.3 with CUDA 11.0, M100, Deep Learning VM Image with TensorFlow Enterprise 2.3 for CUDA 11.0 with Intel MKL-DNN preinstalled.;50;ml-images;tf-2-3-gpu-debian-10;;2022-11-07T18:04:28.359-08:00;;READY
c1-deeplearning-tf-2-3-tpu-v20221107-debian-10;Google, Debian 10 based Deep Learning VM for TensorFlow Enterprise 2.3, M100, TensorFlow Enterprise 2.3 TPU/CPU, Deep Learning VM Image with TensorFlow Enterprise 2.3 preinstalled.;50;ml-images;tf-2-3-tpu-debian-10;;2022-11-07T18:02:31.042-08:00;;READY
c1-deeplearning-tf-2-6-cu110-v20221107-debian-10;Google, Debian 10 based Deep Learning VM for TensorFlow Enterprise 2.6 with CUDA 11.0, M100, TensorFlow Enterprise 2.6 with CUDA 11.0, Deep Learning VM Image with TensorFlow Enterprise 2.6 for CUDA 11.0 with Intel MKL-DNN preinstalled.;50;ml-images;tf-2-6-gpu-debian-10;;2022-11-07T19:14:59.914-08:00;;READY
c1-deeplearning-tf-2-6-tpu-v20221107-debian-10;Google, Debian 10 based Deep Learning VM for TensorFlow Enterprise 2.6, M100, TensorFlow Enterprise 2.6 TPU/CPU, Deep Learning VM Image with TensorFlow Enterprise 2.6 preinstalled.;50;ml-images;tf-2-6-tpu-debian-10;;2022-11-07T19:03:18.466-08:00;;READY
c1-deeplearning-tf-2-7-cu113-v20211219-debian-10;Google, Debian 10 based Deep Learning VM for TensorFlow Enterprise 2.7 with CUDA 11.3, M88, TensorFlow Enterprise 2.7 with CUDA 11.3, Deep Learning VM Image with TensorFlow Enterprise 2.7 for CUDA 11.3 with Intel MKL-DNN preinstalled.;50;ml-images;tf-2-7-gpu-debian-10;;2021-12-20T15:56:47.657-08:00;;READY
c1-deeplearning-tf-2-7-tpu-v20211219-debian-10;Google, Debian 10 based Deep Learning VM for TensorFlow Enterprise 2.7, M88, TensorFlow Enterprise 2.7 TPU/CPU, Deep Learning VM Image with TensorFlow Enterprise 2.7 preinstalled.;50;ml-images;tf-2-7-tpu-debian-10;;2021-12-20T14:43:02.463-08:00;;READY
c1-deeplearning-tf-2-8-cu113-v20221107-debian-10;Google, Debian 10 based Deep Learning VM for TensorFlow Enterprise 2.8 with CUDA 11.3, M100, TensorFlow Enterprise 2.8 with CUDA 11.3, Deep Learning VM Image with TensorFlow Enterprise 2.8 for CUDA 11.3 with Intel MKL-DNN preinstalled.;50;ml-images;tf-2-8-gpu-debian-10;;2022-11-07T19:18:54.682-08:00;;READY
c1-deeplearning-tf-2-8-tpu-v20221107-debian-10;Google, Debian 10 based Deep Learning VM for TensorFlow Enterprise 2.8, M100, TensorFlow Enterprise 2.8 TPU/CPU, Deep Learning VM Image with TensorFlow Enterprise 2.8 preinstalled.;50;ml-images;tf-2-8-tpu-debian-10;;2022-11-07T19:09:26.693-08:00;;READY
c1-deeplearning-tf-2-9-cu113-v20221026-debian-10;Google, Debian 10 based Deep Learning VM for TensorFlow Enterprise 2.9 with CUDA 11.3, M99, TensorFlow Enterprise 2.9 with CUDA 11.3, Deep Learning VM Image with TensorFlow Enterprise 2.9 for CUDA 11.3 with Intel MKL-DNN preinstalled.;50;ml-images;tf-2-9-gpu-debian-10;;2022-10-26T20:36:37.881-07:00;;READY
c1-deeplearning-tf-2-9-tpu-v20221026-debian-10;Google, Debian 10 based Deep Learning VM for TensorFlow Enterprise 2.9, M99, TensorFlow Enterprise 2.9 TPU/CPU, Deep Learning VM Image with TensorFlow Enterprise 2.9 preinstalled.;50;ml-images;tf-2-9-tpu-debian-10;;2022-10-26T19:57:30.943-07:00;;READY
c2-deeplearning-pytorch-1-10-cu110-v20220227-debian-10;Google, Debian 10 based Deep Learning VM for PyTorch CPU/GPU with CUDA 11.0, M90, Deep Learning VM Image with PyTorch 1.10 and fast.ai preinstalled.;50;ml-images;pytorch-1-10-gpu-debian-10;;2022-02-28T13:51:12.137-08:00;;READY
c2-deeplearning-pytorch-1-10-xla-v20220227-debian-10;Google, Debian 10 based Deep Learning VM for PyTorch/XLA, M90, PyTorch/XLA 1.10 and fast.ai, Deep Learning VM Image with PyTorch/XLA 1.10 and fast.ai preinstalled.;50;ml-images;pytorch-1-10-xla-debian-10;;2022-02-28T12:30:19.549-08:00;;READY
c2-deeplearning-pytorch-1-11-cu113-v20220701-debian-10;Google, Debian 10 based Deep Learning VM for PyTorch CPU/GPU with CUDA 11.3, M94, Deep Learning VM Image with PyTorch 1.11 and fast.ai preinstalled.;50;ml-images;pytorch-1-11-gpu-debian-10;;2022-07-01T19:10:10.156-07:00;;READY
c2-deeplearning-pytorch-1-11-xla-v20220316-debian-10;Google, Debian 10 based Deep Learning VM for PyTorch/XLA, M91, PyTorch/XLA 1.11 and fast.ai, Deep Learning VM Image with PyTorch/XLA 1.11 and fast.ai preinstalled.;50;ml-images;pytorch-1-11-xla-debian-10;;2022-03-17T11:31:14.663-07:00;;READY
c2-deeplearning-pytorch-1-12-cu113-v20221107-debian-10;Google, Debian 10 based Deep Learning VM for PyTorch CPU/GPU with CUDA 11.3, M100, Deep Learning VM Image with PyTorch 1.12 and fast.ai preinstalled.;50;ml-images;pytorch-1-12-gpu-debian-10;;2022-11-07T16:58:32.577-08:00;;READY
debian-10-tf-2-10-0-v20220912;Google, Debian GNU/Linux, 10 Buster + TF 2-10-0, A Debian linux image with Tensorflow Version 2-10-0 pre-installed and optimized for Cloud TPUs.;10;ml-images;tf-2-10-0;;2022-09-12T11:55:40.380-07:00;;READY
debian-10-tf-2-11-0-v20221103;Google, Debian GNU/Linux, 10 Buster + TF 2-11-0, A Debian linux image with Tensorflow Version 2-11-0 pre-installed and optimized for Cloud TPUs.;10;ml-images;tf-2-11-0;;2022-11-03T00:42:01.854-07:00;;READY
debian-10-tf-2-4-4-v20211118;Google, Debian GNU/Linux, 10 Buster + TF 2-4-4, A Debian linux image with Tensorflow Version 2-4-4 pre-installed and optimized for Cloud TPUs.;10;ml-images;tf-2-4-4;;2021-11-18T13:25:18.898-08:00;;READY
debian-10-tf-2-5-2-v20211118;Google, Debian GNU/Linux, 10 Buster + TF 2-5-2, A Debian linux image with Tensorflow Version 2-5-2 pre-installed and optimized for Cloud TPUs.;10;ml-images;tf-2-5-2;;2021-11-18T13:25:28.674-08:00;;READY
debian-10-tf-2-5-3-v20220211;Google, Debian GNU/Linux, 10 Buster + TF 2-5-3, A Debian linux image with Tensorflow Version 2-5-3 pre-installed and optimized for Cloud TPUs.;10;ml-images;tf-2-5-3;;2022-02-11T15:19:34.226-08:00;;READY
debian-10-tf-2-6-2-v20211202;Google, Debian GNU/Linux, 10 Buster + TF 2-6-2, A Debian linux image with Tensorflow Version 2-6-2 pre-installed and optimized for Cloud TPUs.;10;ml-images;tf-2-6-2;;2021-12-02T09:47:04.781-08:00;;READY
debian-10-tf-2-6-3-v20220211;Google, Debian GNU/Linux, 10 Buster + TF 2-6-3, A Debian linux image with Tensorflow Version 2-6-3 pre-installed and optimized for Cloud TPUs.;10;ml-images;tf-2-6-3;;2022-02-11T15:21:18.219-08:00;;READY
debian-10-tf-2-6-5-v20220624;Google, Debian GNU/Linux, 10 Buster + TF 2-6-5, A Debian linux image with Tensorflow Version 2-6-5 pre-installed and optimized for Cloud TPUs.;10;ml-images;tf-2-6-5;;2022-06-24T11:11:09.203-07:00;;READY
debian-10-tf-2-7-0-v20211118;Google, Debian GNU/Linux, 10 Buster + TF 2-7-0, A Debian linux image with Tensorflow Version 2-7-0 pre-installed and optimized for Cloud TPUs.;10;ml-images;tf-2-7-0;;2021-11-18T11:45:57.581-08:00;;READY
debian-10-tf-2-7-1-v20220211;Google, Debian GNU/Linux, 10 Buster + TF 2-7-1, A Debian linux image with Tensorflow Version 2-7-1 pre-installed and optimized for Cloud TPUs.;10;ml-images;tf-2-7-1;;2022-02-11T15:16:51.892-08:00;;READY
debian-10-tf-2-7-3-v20220616;Google, Debian GNU/Linux, 10 Buster + TF 2-7-3, A Debian linux image with Tensorflow Version 2-7-3 pre-installed and optimized for Cloud TPUs.;10;ml-images;tf-2-7-3;;2022-06-16T08:22:16.455-07:00;;READY
debian-10-tf-2-7-4-v20220915;Google, Debian GNU/Linux, 10 Buster + TF 2-7-4, A Debian linux image with Tensorflow Version 2-7-4 pre-installed and optimized for Cloud TPUs.;10;ml-images;tf-2-7-4;;2022-09-15T15:05:04.786-07:00;;READY
debian-10-tf-2-8-0-v20220202;Google, Debian GNU/Linux, 10 Buster + TF 2-8-0, A Debian linux image with Tensorflow Version 2-8-0 pre-installed and optimized for Cloud TPUs.;10;ml-images;tf-2-8-0;;2022-02-02T13:07:04.391-08:00;;READY
debian-10-tf-2-8-2-v20220526;Google, Debian GNU/Linux, 10 Buster + TF 2-8-2, A Debian linux image with Tensorflow Version 2-8-2 pre-installed and optimized for Cloud TPUs.;10;ml-images;tf-2-8-2;;2022-05-26T14:28:55.067-07:00;;READY
debian-10-tf-2-8-3-v20220919;Google, Debian GNU/Linux, 10 Buster + TF 2-8-3, A Debian linux image with Tensorflow Version 2-8-3 pre-installed and optimized for Cloud TPUs.;10;ml-images;tf-2-8-3;;2022-09-19T10:54:37.141-07:00;;READY
debian-10-tf-2-9-0-v20220517;Google, Debian GNU/Linux, 10 Buster + TF 2-9-0, A Debian linux image with Tensorflow Version 2-9-0 pre-installed and optimized for Cloud TPUs.;10;ml-images;tf-2-9-0;;2022-05-17T11:48:34.087-07:00;;READY
debian-10-tf-2-9-1-v20220524;Google, Debian GNU/Linux, 10 Buster + TF 2-9-1, A Debian linux image with Tensorflow Version 2-9-1 pre-installed and optimized for Cloud TPUs.;10;ml-images;tf-2-9-1;;2022-05-24T10:13:09.697-07:00;;READY
debian-10-tf-2-9-2-v20220915;Google, Debian GNU/Linux, 10 Buster + TF 2-9-2, A Debian linux image with Tensorflow Version 2-9-2 pre-installed and optimized for Cloud TPUs.;10;ml-images;tf-2-9-2;;2022-09-15T14:47:27.993-07:00;;READY
debian-10-tf-nightly-v20221107;Google, Debian GNU/Linux, 10 Buster + TF nightly, A Debian linux image with Tensorflow Version nightly pre-installed and optimized for Cloud TPUs.;10;ml-images;tf-nightly;;2022-11-07T04:45:03.529-08:00;;READY
debian-10-torch-xla-v20221107;Google, Debian GNU/Linux, 10 Buster + PyTorch/XLA, A Debian linux image with PyTorch/XLA pre-installed and optimized for Cloud TPUs.;100;ml-images;torch-xla;;2022-11-07T06:56:36.731-08:00;;READY
common-container-experimental-notebooks-v20211105-ubuntu-1804;Google, Deep Learning Image: Container Base m85, A ubuntu-1804-lts Linux based image with Docker and NVIDIA-Docker support for custom containers with Deep Learning Image integration.;50;deeplearning-platform-release;common-container-notebooks-ubuntu-1804;;2021-11-08T09:28:49.680-08:00;;READY
common-container-experimental-notebooks-v20221017-ubuntu-2004;Google, Debian 10 based Container Base Deep Learning VM, M98, Deep Learning VM Image with Docker and NVIDIA-Docker support for custom containers with Deep Learning VM integration.;50;deeplearning-platform-release;common-container-notebooks-ubuntu-2004;;2022-10-17T11:33:44.358-07:00;;READY
common-container-experimental-notebooks-v20221107;Google, Debian 10 based Container Base Deep Learning VM, M100, Deep Learning VM Image with Docker and NVIDIA-Docker support for custom containers with Deep Learning VM integration.;50;deeplearning-platform-release;common-container-notebooks;;2022-11-07T14:16:53.346-08:00;;READY
common-container-experimental-notebooks-v20221107-debian-10;Google, Debian 10 based Container Base Deep Learning VM, M100, Deep Learning VM Image with Docker and NVIDIA-Docker support for custom containers with Deep Learning VM integration.;50;deeplearning-platform-release;common-container-notebooks-debian-10;;2022-11-07T14:14:52.135-08:00;;READY
common-container-experimental-v20211105-ubuntu-1804;Google, Deep Learning Image: Container Base m85, A ubuntu-1804-lts Linux based image with Docker and NVIDIA-Docker support for custom containers with Deep Learning Image integration.;50;deeplearning-platform-release;common-container-ubuntu-1804;;2021-11-08T09:28:50.603-08:00;;READY
common-container-experimental-v20221017-ubuntu-2004;Google, Debian 10 based Container Base Deep Learning VM, M98, Deep Learning VM Image with Docker and NVIDIA-Docker support for custom containers with Deep Learning VM integration.;50;deeplearning-platform-release;common-container-ubuntu-2004;;2022-10-17T11:31:43.858-07:00;;READY
common-container-experimental-v20221107;Google, Debian 10 based Container Base Deep Learning VM, M100, Deep Learning VM Image with Docker and NVIDIA-Docker support for custom containers with Deep Learning VM integration.;50;deeplearning-platform-release;common-container;;2022-11-07T14:12:53.527-08:00;;READY
common-container-experimental-v20221107-debian-10;Google, Debian 10 based Container Base Deep Learning VM, M100, Deep Learning VM Image with Docker and NVIDIA-Docker support for custom containers with Deep Learning VM integration.;50;deeplearning-platform-release;common-container-debian-10;;2022-11-07T14:10:52.015-08:00;;READY
common-cpu-notebooks-v20211105-ubuntu-1804;Google, Deep Learning Image: Base For CPU (with Intel(TM) MKL) m85. A ubuntu-1804-lts Linux based image with Intel (TM) optimized NumPy, SciPy, and scikit-learn preinstalled.;50;deeplearning-platform-release;common-cpu-notebooks-ubuntu-1804;;2021-11-08T09:02:30.739-08:00;;READY
common-cpu-notebooks-v20221107;Google, Debian 10 based Deep Learning VM (with Intel MKL), M100, Base For CPU (with Intel MKL), Deep Learning VM Image with Intel optimized NumPy, SciPy, and scikit-learn preinstalled.;50;deeplearning-platform-release;common-cpu-notebooks;;2022-11-07T14:17:41.210-08:00;;READY
common-cpu-notebooks-v20221107-debian-10;Google, Debian 10 based Deep Learning VM (with Intel MKL), M100, Base For CPU (with Intel MKL), Deep Learning VM Image with Intel optimized NumPy, SciPy, and scikit-learn preinstalled.;50;deeplearning-platform-release;common-cpu-notebooks-debian-10;;2022-11-07T14:15:42.754-08:00;;READY
common-cpu-notebooks-v20221107-ubuntu-2004;Google, Ubuntu 20.04 LTS based Deep Learning VM (with Intel MKL), M100, Base For CPU (with Intel MKL), Deep Learning VM Image with Intel optimized NumPy, SciPy, and scikit-learn preinstalled.;50;deeplearning-platform-release;common-cpu-notebooks-ubuntu-2004;;2022-11-07T14:14:01.731-08:00;;READY
common-cpu-v20211105-ubuntu-1804;Google, Deep Learning Image: Base For CPU (with Intel(TM) MKL) m85. A ubuntu-1804-lts Linux based image with Intel (TM) optimized NumPy, SciPy, and scikit-learn preinstalled.;50;deeplearning-platform-release;common-cpu-ubuntu-1804;;2021-11-08T09:02:29.914-08:00;;READY
common-cpu-v20221107;Google, Debian 10 based Deep Learning VM (with Intel MKL), M100, Base For CPU (with Intel MKL), Deep Learning VM Image with Intel optimized NumPy, SciPy, and scikit-learn preinstalled.;50;deeplearning-platform-release;common-cpu;;2022-11-07T14:13:42.247-08:00;;READY
common-cpu-v20221107-debian-10;Google, Debian 10 based Deep Learning VM (with Intel MKL), M100, Base For CPU (with Intel MKL), Deep Learning VM Image with Intel optimized NumPy, SciPy, and scikit-learn preinstalled.;50;deeplearning-platform-release;common-cpu-debian-10;;2022-11-07T14:11:42.753-08:00;;READY
common-cpu-v20221107-ubuntu-2004;Google, Ubuntu 20.04 LTS based Deep Learning VM (with Intel MKL), M100, Base For CPU (with Intel MKL), Deep Learning VM Image with Intel optimized NumPy, SciPy, and scikit-learn preinstalled.;50;deeplearning-platform-release;common-cpu-ubuntu-2004;;2022-11-07T14:12:03.270-08:00;;READY
common-cu100-notebooks-v20211105;Google, Deep Learning Image: Base, m85 CUDA10.0.  A debian-10 Linux based image with CUDA 10.0 preinstalled.;50;deeplearning-platform-release;common-cu100-notebooks;;2021-11-08T09:26:48.870-08:00;;READY
common-cu100-notebooks-v20211105-debian-10;Google, Deep Learning Image: Base, m85 CUDA10.0.  A debian-10 Linux based image with CUDA 10.0 preinstalled.;50;deeplearning-platform-release;common-cu100-notebooks-debian-10;;2021-11-08T09:26:47.710-08:00;;READY
common-cu100-notebooks-v20211105-ubuntu-1804;Google, Deep Learning Image: Base, m85 CUDA10.0.  A ubuntu-1804-lts Linux based image with CUDA 10.0 preinstalled.;50;deeplearning-platform-release;common-cu100-notebooks-ubuntu-1804;;2021-11-08T09:35:46.441-08:00;;READY
common-cu100-v20211105;Google, Deep Learning Image: Base, m85 CUDA10.0.  A debian-10 Linux based image with CUDA 10.0 preinstalled.;50;deeplearning-platform-release;common-cu100;;2021-11-08T09:26:50.230-08:00;;READY
common-cu100-v20211105-debian-10;Google, Deep Learning Image: Base, m85 CUDA10.0.  A debian-10 Linux based image with CUDA 10.0 preinstalled.;50;deeplearning-platform-release;common-cu100-debian-10;;2021-11-08T09:26:48.117-08:00;;READY
